ip.src	ip.dst	ip.flags	icmp.type	icmp.code	data.data
192.168.1.3	192.168.2.2	0x00000000	8	0	4573746f20657320756e20657866696c7472616369c3b36e20736f6272652049434d500a
192.168.1.3	192.168.2.2	0x00000000	8	0	4573746f20657320756e20657866696c7472616369c3b36e20736f6272652049434d500a
192.168.1.3	192.168.2.2	0x00000000	8	0	4573746f20657320756e20657866696c7472616369c3b36e20736f6272652049434d500a
192.168.1.3	192.168.2.2	0x00000000	8	0	4573746f20657320756e20657866696c7472616369c3b36e20736f6272652049434d500a
192.168.1.3	192.168.2.2	0x00000000	8	0	4573746f20657320756e20657866696c7472616369c3b36e20736f6272652049434d500a
192.168.1.3	192.168.2.2	0x00000000	8	0	4573746f20657320756e20657866696c7472616369c3b36e20736f6272652049434d500a
192.168.1.3	192.168.2.2	0x00000000	8	0	4573746f20657320756e20657866696c7472616369c3b36e20736f6272652049434d500a
192.168.1.3	192.168.2.2	0x00000000	8	0	4573746f20657320756e20657866696c7472616369c3b36e20736f6272652049434d500a
192.168.1.3	192.168.2.2	0x00000000	8	0	4573746f20657320756e20657866696c7472616369c3b36e20736f6272652049434d500a
192.168.1.3	192.168.2.2	0x00000000	8	0	4573746f20657320756e20657866696c7472616369c3b36e20736f6272652049434d500a
192.168.1.3	192.168.2.2	0x00000000	8	0	4573746f20657320756e20657866696c7472616369c3b36e20736f6272652049434d500a
192.168.1.3	192.168.2.2	0x00000000	8	0	4573746f20657320756e20657866696c7472616369c3b36e20736f6272652049434d500a
192.168.1.3	192.168.2.2	0x00000000	8	0	4573746f20657320756e20657866696c7472616369c3b36e20736f6272652049434d500a
192.168.1.3	192.168.2.2	0x00000000	8	0	4573746f20657320756e20657866696c7472616369c3b36e20736f6272652049434d500a
192.168.1.3	192.168.2.2	0x00000000	8	0	4573746f20657320756e20657866696c7472616369c3b36e20736f6272652049434d500a
192.168.1.3	192.168.2.2	0x00000000	8	0	4573746f20657320756e20657866696c7472616369c3b36e20736f6272652049434d500a
